             v1        OLR1_CO2        OLR2_CO2
        0.10000         0.00000         0.00000
        1.10000         0.00001         0.00001
        2.10000         0.00003         0.00003
        3.10000         0.00007         0.00007
        4.10000         0.00013         0.00013
        5.10000         0.00020         0.00020
        6.10000         0.00029         0.00029
        7.10000         0.00039         0.00039
        8.10000         0.00050         0.00050
        9.10000         0.00063         0.00063
       10.10000         0.00078         0.00078
       11.10000         0.00093         0.00093
       12.10000         0.00111         0.00111
       13.10000         0.00130         0.00130
       14.10000         0.00150         0.00150
       15.10000         0.00171         0.00171
       16.10000         0.00194         0.00194
       17.10000         0.00219         0.00219
       18.10000         0.00244         0.00244
       19.10000         0.00271         0.00271
       20.10000         0.00300         0.00300
       21.10000         0.00330         0.00330
       22.10000         0.00361         0.00361
       23.10000         0.00393         0.00393
       24.10000         0.00427         0.00427
       25.10000         0.00462         0.00462
       26.10000         0.00498         0.00498
       27.10000         0.00536         0.00536
       28.10000         0.00575         0.00575
       29.10000         0.00615         0.00615
       30.10000         0.00656         0.00656
       31.10000         0.00699         0.00699
       32.10000         0.00743         0.00742
       33.10000         0.00788         0.00787
       34.10000         0.00834         0.00834
       35.10000         0.00881         0.00881
       36.10000         0.00930         0.00930
       37.10000         0.00980         0.00979
       38.10000         0.01031         0.01030
       39.10000         0.01083         0.01083
       40.10000         0.01136         0.01136
       41.10000         0.01191         0.01190
       42.10000         0.01246         0.01246
       43.10000         0.01303         0.01302
       44.10000         0.01361         0.01360
       45.10000         0.01419         0.01419
       46.10000         0.01479         0.01479
       47.10000         0.01540         0.01540
       48.10000         0.01603         0.01602
       49.10000         0.01666         0.01665
       50.10000         0.01730         0.01729
       51.10000         0.01795         0.01795
       52.10000         0.01861         0.01861
       53.10000         0.01929         0.01928
       54.10000         0.01997         0.01996
       55.10000         0.02066         0.02066
       56.10000         0.02137         0.02136
       57.10000         0.02208         0.02207
       58.10000         0.02280         0.02279
       59.10000         0.02354         0.02353
       60.10000         0.02428         0.02427
       61.10000         0.02503         0.02502
       62.10000         0.02579         0.02578
       63.10000         0.02656         0.02655
       64.10000         0.02734         0.02733
       65.10000         0.02813         0.02812
       66.10000         0.02893         0.02891
       67.10000         0.02973         0.02972
       68.10000         0.03055         0.03053
       69.10000         0.03137         0.03136
       70.10000         0.03220         0.03219
       71.10000         0.03305         0.03303
       72.10000         0.03390         0.03388
       73.10000         0.03475         0.03474
       74.10000         0.03562         0.03561
       75.10000         0.03650         0.03648
       76.10000         0.03738         0.03736
       77.10000         0.03827         0.03825
       78.10000         0.03917         0.03915
       79.10000         0.04008         0.04006
       80.10000         0.04099         0.04097
       81.10000         0.04191         0.04189
       82.10000         0.04284         0.04282
       83.10000         0.04378         0.04376
       84.10000         0.04473         0.04471
       85.10000         0.04568         0.04566
       86.10000         0.04664         0.04662
       87.10000         0.04760         0.04758
       88.10000         0.04858         0.04856
       89.10000         0.04956         0.04954
       90.10000         0.05055         0.05053
       91.10000         0.05154         0.05152
       92.10000         0.05255         0.05252
       93.10000         0.05355         0.05353
       94.10000         0.05457         0.05455
       95.10000         0.05559         0.05557
       96.10000         0.05662         0.05659
       97.10000         0.05766         0.05763
       98.10000         0.05870         0.05867
       99.10000         0.05975         0.05972
      100.10000         0.06080         0.06077
      101.10000         0.06186         0.06183
      102.10000         0.06292         0.06289
      103.10000         0.06400         0.06397
      104.10000         0.06507         0.06504
      105.10000         0.06616         0.06613
      106.10000         0.06725         0.06722
      107.10000         0.06834         0.06831
      108.10000         0.06944         0.06941
      109.10000         0.07055         0.07052
      110.10000         0.07166         0.07163
      111.10000         0.07278         0.07274
      112.10000         0.07390         0.07386
      113.10000         0.07503         0.07499
      114.10000         0.07616         0.07612
      115.10000         0.07730         0.07726
      116.10000         0.07844         0.07840
      117.10000         0.07959         0.07955
      118.10000         0.08074         0.08070
      119.10000         0.08190         0.08186
      120.10000         0.08306         0.08302
      121.10000         0.08423         0.08418
      122.10000         0.08540         0.08535
      123.10000         0.08658         0.08653
      124.10000         0.08776         0.08771
      125.10000         0.08894         0.08889
      126.10000         0.09013         0.09008
      127.10000         0.09132         0.09127
      128.10000         0.09252         0.09247
      129.10000         0.09372         0.09367
      130.10000         0.09493         0.09487
      131.10000         0.09614         0.09608
